datetime,hour,day_of_week,day_of_year,is_weekend,sin_hour,cos_hour,sin_day_of_week,cos_day_of_week,solar_presence,external_temperature,relative_humidity,solar_radiation,wind_speed,dew_point,weather_condition,temperature_humidity_index
01-06-2024 00:00,0,3,152,FALSE,0,1,0.433883739,-0.900968868,FALSE,23.7,59.6,0,2,15.6,Sunny,21.7
01-06-2024 01:00,1,3,152,FALSE,0.258819045,0.965925826,0.433883739,-0.900968868,FALSE,24.8,71.4,0,2.26,19.1,Sunny,23.2
01-06-2024 02:00,2,3,152,FALSE,0.5,0.866025404,0.433883739,-0.900968868,FALSE,26.2,61.3,0,1.8,18.5,Cloudy,23.7
01-06-2024 03:00,3,3,152,FALSE,0.707106781,0.707106781,0.433883739,-0.900968868,FALSE,27.9,55.3,0,3.32,19,Sunny,24.6
01-06-2024 04:00,4,3,152,FALSE,0.866025404,0.5,0.433883739,-0.900968868,FALSE,29.7,63.8,0,2.53,22.5,Sunny,26.7
01-06-2024 05:00,5,3,152,FALSE,0.965925826,0.258819045,0.433883739,-0.900968868,FALSE,31.6,52.6,0,2.88,22.1,Sunny,27.1
01-06-2024 06:00,6,3,152,FALSE,1,6.12E-17,0.433883739,-0.900968868,TRUE,33.2,58.9,17.5,3.03,24,Sunny,29
01-06-2024 07:00,7,3,152,FALSE,0.965925826,-0.258819045,0.433883739,-0.900968868,TRUE,34.7,47.4,45.7,3.68,24,Sunny,28.9
01-06-2024 08:00,8,3,152,FALSE,0.866025404,-0.5,0.433883739,-0.900968868,TRUE,35.8,50,118.4,3.14,24,Sunny,29.9
01-06-2024 09:00,9,3,152,FALSE,0.707106781,-0.707106781,0.433883739,-0.900968868,TRUE,36.5,57.2,283.4,2.22,24,Cloudy,31.3
01-06-2024 10:00,10,3,152,FALSE,0.5,-0.866025404,0.433883739,-0.900968868,TRUE,36.7,59.8,384.5,3.82,24,Cloudy,31.8
01-06-2024 11:00,11,3,152,FALSE,0.258819045,-0.965925826,0.433883739,-0.900968868,TRUE,36.5,57.1,627.1,3.19,24,Sunny,31.3
01-06-2024 12:00,12,3,152,FALSE,1.22E-16,-1,0.433883739,-0.900968868,TRUE,35.8,56,796,3.44,24,Rainy,30.6
01-06-2024 13:00,13,3,152,FALSE,-0.258819045,-0.965925826,0.433883739,-0.900968868,TRUE,34.7,55.6,896,4.44,24,Sunny,29.8
01-06-2024 14:00,14,3,152,FALSE,-0.5,-0.866025404,0.433883739,-0.900968868,TRUE,33.2,50.5,787,4.99,23.3,Sunny,28.1
01-06-2024 15:00,15,3,152,FALSE,-0.707106781,-0.707106781,0.433883739,-0.900968868,TRUE,31.6,55.1,580.9,3.98,22.6,Rainy,27.4
01-06-2024 16:00,16,3,152,FALSE,-0.866025404,-0.5,0.433883739,-0.900968868,TRUE,29.7,57.3,440.3,4.11,21.2,Sunny,26.1
01-06-2024 17:00,17,3,152,FALSE,-0.965925826,-0.258819045,0.433883739,-0.900968868,TRUE,27.9,65.8,255.3,5.07,21.1,Rainy,25.4
01-06-2024 18:00,18,3,152,FALSE,-1,-1.84E-16,0.433883739,-0.900968868,TRUE,26.2,63.1,127.5,3.69,18.8,Sunny,23.8
01-06-2024 19:00,19,3,152,FALSE,-0.965925826,0.258819045,0.433883739,-0.900968868,FALSE,24.8,53.3,0,5.34,15.5,Sunny,22.2
01-06-2024 20:00,20,3,152,FALSE,-0.866025404,0.5,0.433883739,-0.900968868,FALSE,23.7,64.3,0,3.45,16.6,Sunny,21.9
01-06-2024 21:00,21,3,152,FALSE,-0.707106781,0.707106781,0.433883739,-0.900968868,FALSE,23,61.1,0,1.33,15.2,Cloudy,21.2
01-06-2024 22:00,22,3,152,FALSE,-0.5,0.866025404,0.433883739,-0.900968868,FALSE,22.7,59.8,0,3.1,14.7,Cloudy,20.9
01-06-2024 23:00,23,3,152,FALSE,-0.258819045,0.965925826,0.433883739,-0.900968868,FALSE,23,66.1,0,2.6,16.2,Cloudy,21.4
02-06-2024 00:00,0,4,153,FALSE,0,1,-0.433883739,-0.900968868,FALSE,22.7,68.3,0,3.17,16.4,Sunny,21.3
02-06-2024 01:00,1,4,153,FALSE,0.258819045,0.965925826,-0.433883739,-0.900968868,FALSE,23.8,67.3,0,2.57,17.3,Sunny,22.1
02-06-2024 02:00,2,4,153,FALSE,0.5,0.866025404,-0.433883739,-0.900968868,FALSE,25.3,57.7,0,1.89,16.8,Sunny,22.8
02-06-2024 03:00,3,4,153,FALSE,0.707106781,0.707106781,-0.433883739,-0.900968868,FALSE,27,59.5,0,1.05,18.9,Sunny,24.2
02-06-2024 04:00,4,4,153,FALSE,0.866025404,0.5,-0.433883739,-0.900968868,FALSE,28.8,61.8,0,1.97,21.2,Rainy,25.8
02-06-2024 05:00,5,4,153,FALSE,0.965925826,0.258819045,-0.433883739,-0.900968868,FALSE,30.6,64.1,0,1.61,23.4,Sunny,27.4
02-06-2024 06:00,6,4,153,FALSE,1,6.12E-17,-0.433883739,-0.900968868,TRUE,32.3,56,17.7,4.44,23.5,Cloudy,28
02-06-2024 07:00,7,4,153,FALSE,0.965925826,-0.258819045,-0.433883739,-0.900968868,TRUE,33.7,56.7,49.2,3.21,24,Cloudy,29.1
02-06-2024 08:00,8,4,153,FALSE,0.866025404,-0.5,-0.433883739,-0.900968868,TRUE,34.9,51.5,105.5,4.34,24,Sunny,29.5
02-06-2024 09:00,9,4,153,FALSE,0.707106781,-0.707106781,-0.433883739,-0.900968868,TRUE,35.6,50.7,231.3,3.57,24,Cloudy,29.9
02-06-2024 10:00,10,4,153,FALSE,0.5,-0.866025404,-0.433883739,-0.900968868,TRUE,35.8,60.7,439.1,2.54,24,Sunny,31.2
02-06-2024 11:00,11,4,153,FALSE,0.258819045,-0.965925826,-0.433883739,-0.900968868,TRUE,35.6,63.5,677.9,4.06,24,Sunny,31.4
02-06-2024 12:00,12,4,153,FALSE,1.22E-16,-1,-0.433883739,-0.900968868,TRUE,34.9,56.7,848.1,4.82,24,Sunny,30
02-06-2024 13:00,13,4,153,FALSE,-0.258819045,-0.965925826,-0.433883739,-0.900968868,TRUE,33.7,62.7,865.3,3.48,24,Sunny,29.8
02-06-2024 14:00,14,4,153,FALSE,-0.5,-0.866025404,-0.433883739,-0.900968868,TRUE,32.3,60.2,821.5,3.89,24,Sunny,28.4
02-06-2024 15:00,15,4,153,FALSE,-0.707106781,-0.707106781,-0.433883739,-0.900968868,TRUE,30.6,56,613.3,3.98,21.8,Sunny,26.7
02-06-2024 16:00,16,4,153,FALSE,-0.866025404,-0.5,-0.433883739,-0.900968868,TRUE,28.8,61.9,435.3,3.24,21.2,Sunny,25.8
02-06-2024 17:00,17,4,153,FALSE,-0.965925826,-0.258819045,-0.433883739,-0.900968868,TRUE,27,68.7,252.2,4.23,20.7,Sunny,24.8
02-06-2024 18:00,18,4,153,FALSE,-1,-1.84E-16,-0.433883739,-0.900968868,TRUE,25.3,61.7,132.3,3.4,17.6,Cloudy,23
02-06-2024 19:00,19,4,153,FALSE,-0.965925826,0.258819045,-0.433883739,-0.900968868,FALSE,23.8,70.4,0,3.59,17.9,Cloudy,22.3
02-06-2024 20:00,20,4,153,FALSE,-0.866025404,0.5,-0.433883739,-0.900968868,FALSE,22.7,50.1,0,2.29,14,Sunny,20.4
02-06-2024 21:00,21,4,153,FALSE,-0.707106781,0.707106781,-0.433883739,-0.900968868,FALSE,22,67.6,0,2.39,15.5,Sunny,20.7
02-06-2024 22:00,22,4,153,FALSE,-0.5,0.866025404,-0.433883739,-0.900968868,FALSE,21.8,64,0,3.08,14.6,Cloudy,20.4
02-06-2024 23:00,23,4,153,FALSE,-0.258819045,0.965925826,-0.433883739,-0.900968868,FALSE,22,62,0,1.99,14.4,Sunny,20.4
03-06-2024 00:00,0,5,154,TRUE,0,1,-0.974927912,-0.222520934,FALSE,23.9,63,0,3.52,16.5,Cloudy,22
03-06-2024 01:00,1,5,154,TRUE,0.258819045,0.965925826,-0.974927912,-0.222520934,FALSE,25,52.1,0,1.71,15.4,Sunny,22.2
03-06-2024 02:00,2,5,154,TRUE,0.5,0.866025404,-0.974927912,-0.222520934,FALSE,26.5,60.2,0,2.18,18.5,Sunny,23.9
03-06-2024 03:00,3,5,154,TRUE,0.707106781,0.707106781,-0.974927912,-0.222520934,FALSE,28.2,62.2,0,2.78,20.6,Sunny,25.4
03-06-2024 04:00,4,5,154,TRUE,0.866025404,0.5,-0.974927912,-0.222520934,FALSE,30,66.9,0,1,23.4,Sunny,27.2
03-06-2024 05:00,5,5,154,TRUE,0.965925826,0.258819045,-0.974927912,-0.222520934,FALSE,31.8,56,0,1,23,Cloudy,27.6
03-06-2024 06:00,6,5,154,TRUE,1,6.12E-17,-0.974927912,-0.222520934,TRUE,33.5,53.7,18.4,1.28,24,Sunny,28.7
03-06-2024 07:00,7,5,154,TRUE,0.965925826,-0.258819045,-0.974927912,-0.222520934,TRUE,34.9,54.5,53.2,3.75,24,Cloudy,29.8
03-06-2024 08:00,8,5,154,TRUE,0.866025404,-0.5,-0.974927912,-0.222520934,TRUE,36,61.1,113.3,2.56,24,Cloudy,31.4
03-06-2024 09:00,9,5,154,TRUE,0.707106781,-0.707106781,-0.974927912,-0.222520934,TRUE,36.7,57.8,244.1,5.31,24,Sunny,31.5
03-06-2024 10:00,10,5,154,TRUE,0.5,-0.866025404,-0.974927912,-0.222520934,TRUE,37,53.4,392.9,3.05,24,Cloudy,31.2
03-06-2024 11:00,11,5,154,TRUE,0.258819045,-0.965925826,-0.974927912,-0.222520934,TRUE,36.7,58.7,652,3.85,24,Sunny,31.7
03-06-2024 12:00,12,5,154,TRUE,1.22E-16,-1,-0.974927912,-0.222520934,TRUE,36,57,783.9,5.1,24,Sunny,30.9
03-06-2024 13:00,13,5,154,TRUE,-0.258819045,-0.965925826,-0.974927912,-0.222520934,TRUE,34.9,61.9,828.3,5.57,24,Cloudy,30.6
03-06-2024 14:00,14,5,154,TRUE,-0.5,-0.866025404,-0.974927912,-0.222520934,TRUE,33.5,54.2,823.3,5.65,24,Sunny,28.7
03-06-2024 15:00,15,5,154,TRUE,-0.707106781,-0.707106781,-0.974927912,-0.222520934,TRUE,31.8,57,655.2,4.93,23.2,Sunny,27.7
03-06-2024 16:00,16,5,154,TRUE,-0.866025404,-0.5,-0.974927912,-0.222520934,TRUE,30,57.5,412.7,4.69,21.5,Sunny,26.4
03-06-2024 17:00,17,5,154,TRUE,-0.965925826,-0.258819045,-0.974927912,-0.222520934,TRUE,28.2,53.1,231.8,4.18,18.8,Sunny,24.7
03-06-2024 18:00,18,5,154,TRUE,-1,-1.84E-16,-0.974927912,-0.222520934,TRUE,26.5,62.7,127.7,4.12,19,Cloudy,24
03-06-2024 19:00,19,5,154,TRUE,-0.965925826,0.258819045,-0.974927912,-0.222520934,FALSE,25,63.3,0,2.82,17.7,Cloudy,22.9
03-06-2024 20:00,20,5,154,TRUE,-0.866025404,0.5,-0.974927912,-0.222520934,FALSE,23.9,62.6,0,2.35,16.4,Cloudy,22
03-06-2024 21:00,21,5,154,TRUE,-0.707106781,0.707106781,-0.974927912,-0.222520934,FALSE,23.2,61.7,0,2.74,15.5,Cloudy,21.4
03-06-2024 22:00,22,5,154,TRUE,-0.5,0.866025404,-0.974927912,-0.222520934,FALSE,23,55.9,0,2.36,14.2,Sunny,20.9
03-06-2024 23:00,23,5,154,TRUE,-0.258819045,0.965925826,-0.974927912,-0.222520934,FALSE,23.2,60.8,0,5.39,15.4,Sunny,21.3
04-06-2024 00:00,0,6,155,TRUE,0,1,-0.781831482,0.623489802,FALSE,25.2,60.2,0,2.69,17.2,Sunny,22.9
04-06-2024 01:00,1,6,155,TRUE,0.258819045,0.965925826,-0.781831482,0.623489802,FALSE,26.3,57.3,0,2.8,17.8,Sunny,23.5
04-06-2024 02:00,2,6,155,TRUE,0.5,0.866025404,-0.781831482,0.623489802,FALSE,27.8,59.8,0,2.07,19.8,Sunny,24.9
04-06-2024 03:00,3,6,155,TRUE,0.707106781,0.707106781,-0.781831482,0.623489802,FALSE,29.5,61.8,0,3.22,21.9,Rainy,26.3
04-06-2024 04:00,4,6,155,TRUE,0.866025404,0.5,-0.781831482,0.623489802,FALSE,31.3,68.3,0,1.22,24,Sunny,28.4
04-06-2024 05:00,5,6,155,TRUE,0.965925826,0.258819045,-0.781831482,0.623489802,FALSE,33.1,58.8,0,2.14,24,Sunny,28.9
04-06-2024 06:00,6,6,155,TRUE,1,6.12E-17,-0.781831482,0.623489802,TRUE,34.8,58.4,18.9,1.93,24,Sunny,30.2
04-06-2024 07:00,7,6,155,TRUE,0.965925826,-0.258819045,-0.781831482,0.623489802,TRUE,36.2,56,48.4,1.25,24,Cloudy,30.9
04-06-2024 08:00,8,6,155,TRUE,0.866025404,-0.5,-0.781831482,0.623489802,TRUE,37.3,46.3,126.8,2.93,24,Cloudy,30.6
04-06-2024 09:00,9,6,155,TRUE,0.707106781,-0.707106781,-0.781831482,0.623489802,TRUE,38,55.4,237.8,3.16,24,Sunny,32.2
04-06-2024 10:00,10,6,155,TRUE,0.5,-0.866025404,-0.781831482,0.623489802,TRUE,38.3,55.7,464.6,4.71,24,Sunny,32.5
04-06-2024 11:00,11,6,155,TRUE,0.258819045,-0.965925826,-0.781831482,0.623489802,TRUE,38,67.8,614.8,4.21,24,Cloudy,33.8
04-06-2024 12:00,12,6,155,TRUE,1.22E-16,-1,-0.781831482,0.623489802,TRUE,37.3,54.9,776.2,3.05,24,Sunny,31.6
04-06-2024 13:00,13,6,155,TRUE,-0.258819045,-0.965925826,-0.781831482,0.623489802,TRUE,36.2,57.9,787.7,5.45,24,Sunny,31.2
04-06-2024 14:00,14,6,155,TRUE,-0.5,-0.866025404,-0.781831482,0.623489802,TRUE,34.8,56.9,729.6,4.98,24,Cloudy,30
04-06-2024 15:00,15,6,155,TRUE,-0.707106781,-0.707106781,-0.781831482,0.623489802,TRUE,33.1,52.1,625.4,4.43,23.5,Cloudy,28.2
04-06-2024 16:00,16,6,155,TRUE,-0.866025404,-0.5,-0.781831482,0.623489802,TRUE,31.3,64.6,443.5,3.68,24,Sunny,28
04-06-2024 17:00,17,6,155,TRUE,-0.965925826,-0.258819045,-0.781831482,0.623489802,TRUE,29.5,63.5,270.1,2.94,22.2,Cloudy,26.5
04-06-2024 18:00,18,6,155,TRUE,-1,-1.84E-16,-0.781831482,0.623489802,TRUE,27.8,64.6,117.5,3.2,20.7,Cloudy,25.2
04-06-2024 19:00,19,6,155,TRUE,-0.965925826,0.258819045,-0.781831482,0.623489802,FALSE,26.3,56.8,0,4.13,17.7,Sunny,23.5
04-06-2024 20:00,20,6,155,TRUE,-0.866025404,0.5,-0.781831482,0.623489802,FALSE,25.2,68.9,0,4.51,19,Rainy,23.4
04-06-2024 21:00,21,6,155,TRUE,-0.707106781,0.707106781,-0.781831482,0.623489802,FALSE,24.5,55.2,0,3.98,15.5,Cloudy,22
04-06-2024 22:00,22,6,155,TRUE,-0.5,0.866025404,-0.781831482,0.623489802,FALSE,24.3,65.3,0,2.11,17.4,Cloudy,22.4
04-06-2024 23:00,23,6,155,TRUE,-0.258819045,0.965925826,-0.781831482,0.623489802,FALSE,24.5,73.2,0,1.4,19.1,Cloudy,23
05-06-2024 00:00,0,0,156,FALSE,0,1,0,1,FALSE,22.6,58.2,0,2.25,14.2,Sunny,20.7
05-06-2024 01:00,1,0,156,FALSE,0.258819045,0.965925826,0,1,FALSE,23.7,59.8,0,1,15.7,Sunny,21.7
05-06-2024 02:00,2,0,156,FALSE,0.5,0.866025404,0,1,FALSE,25.1,62.4,0,2.26,17.6,Sunny,22.9
05-06-2024 03:00,3,0,156,FALSE,0.707106781,0.707106781,0,1,FALSE,26.8,58.6,0,1.92,18.5,Sunny,24
05-06-2024 04:00,4,0,156,FALSE,0.866025404,0.5,0,1,FALSE,28.6,52.4,0,1.76,19.1,Sunny,24.9
05-06-2024 05:00,5,0,156,FALSE,0.965925826,0.258819045,0,1,FALSE,30.5,59.6,0,1.02,22.4,Cloudy,26.9
05-06-2024 06:00,6,0,156,FALSE,1,6.12E-17,0,1,TRUE,32.1,53.1,18.2,2.91,22.7,Cloudy,27.6
05-06-2024 07:00,7,0,156,FALSE,0.965925826,-0.258819045,0,1,TRUE,33.6,60.1,47.8,2.32,24,Cloudy,29.4
05-06-2024 08:00,8,0,156,FALSE,0.866025404,-0.5,0,1,TRUE,34.7,52.6,121.6,2.06,24,Cloudy,29.4
05-06-2024 09:00,9,0,156,FALSE,0.707106781,-0.707106781,0,1,TRUE,35.4,64.5,248.6,1,24,Cloudy,31.3
05-06-2024 10:00,10,0,156,FALSE,0.5,-0.866025404,0,1,TRUE,35.6,52.8,400.1,3.48,24,Sunny,30.1
05-06-2024 11:00,11,0,156,FALSE,0.258819045,-0.965925826,0,1,TRUE,35.4,55.2,595.5,5.12,24,Sunny,30.3
05-06-2024 12:00,12,0,156,FALSE,1.22E-16,-1,0,1,TRUE,34.7,61.2,737.9,5.2,24,Sunny,30.4
05-06-2024 13:00,13,0,156,FALSE,-0.258819045,-0.965925826,0,1,TRUE,33.6,51.5,981.1,3.6,23.9,Cloudy,28.5
05-06-2024 14:00,14,0,156,FALSE,-0.5,-0.866025404,0,1,TRUE,32.1,59.6,874.5,3.52,24,Sunny,28.2
05-06-2024 15:00,15,0,156,FALSE,-0.707106781,-0.707106781,0,1,TRUE,30.5,65.8,591.4,4.34,23.7,Cloudy,27.5
05-06-2024 16:00,16,0,156,FALSE,-0.866025404,-0.5,0,1,TRUE,28.6,52.2,401.5,3.07,19,Sunny,24.9
05-06-2024 17:00,17,0,156,FALSE,-0.965925826,-0.258819045,0,1,TRUE,26.8,62,250.7,3.95,19.2,Cloudy,24.2
05-06-2024 18:00,18,0,156,FALSE,-1,-1.84E-16,0,1,TRUE,25.1,63.2,116.5,4.11,17.7,Cloudy,23
05-06-2024 19:00,19,0,156,FALSE,-0.965925826,0.258819045,0,1,FALSE,23.7,66.6,0,4.24,17,Cloudy,22
05-06-2024 20:00,20,0,156,FALSE,-0.866025404,0.5,0,1,FALSE,22.6,57,0,2.92,14,Rainy,20.7
